date,Up/Down,원/달러(저가),원/달러(종가), open _x, high _x, low _x, close _x,전일대비,증감률, volume _x, value ,MA(5),WMA(5),중심선, 상한선 ,하한선,%B,band width,전일대비.1,상승분,하락분,AU,AD,RS,RSI, 12EMA ,26EMA,MACD, MACD 시그널 ,%K,%D, open _y, high _y, low _y, close _y, volume _y, 환률 ,  원화환산  ,open,high,low,close,volume,소비자물가지수,등락,등락률,market_premium,price_usd_open,price_usd_high,price_usd_low,price_usd_close,price_usd_adj_close,nvt_golden_cross,stock_to_flow,stock_to_flow_reversion,puell_multiple,stablecoin_supply_ratio,mpi,outflow_total,outflow_top10,outflow_mean,outflow_mean_ma7,reserve_x,reserve_usd_x,reserve_y,reserve_usd_y,reserve_bi,reserve_usd_bi,FGI,reserve_co,reserve_usd_co,reserve_der,reserve_usd_der,reserve_spot,reserve_usd_spot,reserve_all,reserve_usd_all,reserve,reserve_usd
2018-02-21,Down,1072.4,1076.2,13542000,13650000,12411000,12815000,-733000,-0.0541,37638,493000000000.0,12655600,12829733,11661600,13968702,9354498.06,0.75,0.4,-733000,0,733000,662666.6667,433666.6667,1.5280553419999998,60.44390392,11741198,11923269,-182071,-853048,51.473263,75.66996618,11195.07,11304.03,10200.0,10437.6,68114,1076,11230858,11235.57,11279.99,10250.0,10454.27,30042.030889999998,247.87,1,1.34,79.95097293,18.19,18.7,17.75,17.86,17.86,0.96202361,7989.977418,1.30769143,1.820263061,76.11673414,-0.899722028,336.1099181,327.1348228,2.07475258,1.253009124,678747.2701,7091839945,678747.2701,7091839945,118962.3588,1242969284.0,54,636354.3641,6648900846,678747.2701,7091839945,1393243.929,14557204700,2071991.199,21649044645.0,678747.2700581892,7091839945.157735
2018-02-22,Down,1077.0,1084.3,12823000,13031000,11660000,11763000,-1052000,-0.0821,37220,455000000000.0,12548200,12532200,11823900,13896425,9751374.883,0.49,0.35,-1052000,0,1052000,662666.6667,706333.3333,0.9381783859999999,48.40516192,11744552,11911397,-166845,-715808,9.173962695,46.86684263,10439.02,10933.44,9679.0,9811.04,67060,1084,10635167,10453.83,10900.0,9715.27,9830.0,28095.90851,247.87,1,1.34,81.23178327,17.01,17.24,16.28,16.92,16.92,1.215144392,9063.457608,1.09074488,1.526116326,71.61963932,-0.715830442,121.4313432,115.21575049999998,1.02043146,1.230703181,681997.7606,6742175301,681997.7606,6742175301,116953.7847,1156195759.0,44,636532.5854,6292710217,681997.7606,6742175301,1416660.364,14004991030,2098658.125,20747166331.0,681997.7605664493,6742175301.139072
2018-02-23,Up,1076.4,1079.0,11761000,12170000,11271000,12065000,302000,0.0257,31053,365000000000.0,12568000,12371133,12039800,13671003,10408596.57,0.51,0.27,302000,302000,0,618500.0,706333.3333,0.875648891,46.68511762,11793852,11922775,-128923,-598431,27.5886032,29.41194297,9815.55,10435.0,9570.19,10131.04,57203,1079,10931392,9830.0,10390.77,9576.43,10144.99,20779.943180000002,247.87,1,1.34,78.65652473,17.72,18.25,17.13,17.21,17.21,1.7028485309999999,9125.697187,1.11780775,1.49433542,73.87978411,-1.054668486,133.7217009,123.68373170000001,0.79596251,1.05121831,702377.4846,7164794685,702377.4846,7164794685,141010.2253,1438413581.0,39,634880.3504,6476271607,702377.4846,7164794685,1416464.876,14449039490,2118842.36,21613834176.0,702377.4845722393,7164794685.187385
2018-02-24,Down,1076.4,1079.0,12065000,12359000,11281000,11553000,-512000,-0.0424,21762,258000000000.0,12348800,12032800,12147800,13461959,10833641.17,0.27,0.22,-512000,0,512000,565400.0,657750.0,0.8595971109999999,46.22491109,11756798,11895384,-138587,-506462,9.798471161,15.52034568,10131.04,10496.97,9352.0,9694.51,40888,1079,10460376,10144.99,10494.14,9372.72,9688.62,19729.38571,247.87,1,1.34,79.71227331,17.83,18.23,17.256666666666668,17.413333333333334,17.413333333333334,2.6341926019999997,9315.504715000001,1.03946524,1.469624695,70.55710653,-0.5609531999999999,1664.875416,1659.512475,13.99054971,2.96306149,714289.5119,6916567725,714289.5119,6916567725,152242.9822,1474190618.0,31,635050.4064,6149284109,714289.5119,6916567725,1416445.4730000002,13715644534,2130734.984,20632212259.0,714289.5118749493,6916567724.979455
2018-02-25,Down,1076.4,1079.0,11553000,11613000,10805000,11230000,-323000,-0.027999999999999997,16500,186000000000.0,11885200,11659867,12135100,13481638,10788561.79,0.16,0.22,-323000,0,323000,680500.0,590800.0,1.15182803,53.52788484,11675752,11846097,-170345,-439239,14.93848858,17.44185431,9694.51,9847.0,9274.8,9590.0,28374,1079,10347610,9688.61,9850.0,9324.75,9597.99,11707.16167,247.87,1,1.34,80.76802189,17.94,18.21,17.383333333333333,17.616666666666667,17.616666666666667,3.5841573510000004,7900.112184999999,1.20884992,1.611690488,69.8538769,-1.133438495,134.0727004,131.2354029,1.24141389,2.9878605510000003,717930.1046,6856268396,717930.1046,6856268396,153245.3572,1463500823.0,33,635162.0132,6065828985,717930.1046,6856268396,1417795.26,13540015625,2135725.365,20396284021.0,717930.1046068394,6856268395.5005455
2018-02-26,Up,1072.7,1073.4,11230000,11884000,10828000,11773000,543000,0.0484,24307,276000000000.0,11676800,11622467,12166200,13462548,10869852.27,0.35,0.21,543000,543000,0,606750.0,590800.0,1.0269972920000001,50.66594297,11690713,11840682,-149969,-381385,43.48607367,22.74101114,9590.0,10444.32,9350.0,10324.0,34878,1073,11077652,9600.0,10447.74,9404.0,10300.0,19118.99382,247.87,1,1.34,81.82377047,18.05,18.19,17.51,17.82,17.82,3.8063453889999996,9581.987118000001,1.07372561,1.380917736,75.15591711,-0.921866877,133.82971329999998,124.8777592,0.96978053,3.006220131,722703.702,7435482836,722703.702,7435482836,154431.4694,1588856591.0,37,634761.4502,6530695573,722703.702,7435482836,1418006.091,14589049315,2140709.793,22024532151.0,722703.7020433093,7435482835.694935
2018-02-27,Up,1068.7,1071.3,11778000,12165000,11463000,11951000,178000,0.0151,20616,245000000000.0,11714400,11713867,12131300,13430149,10832450.96,0.43,0.21,178000,178000,0,521000.0,655000.0,0.795419847,44.30272109,11730757,11848854,-118096,-328727,73.74517375,44.05657867,10321.0,10870.0,10121.0,10569.04,30705,1071,11319442,10300.0,10845.07,10133.33,10566.57,18240.52935,247.87,1,1.34,80.89820766,18.555,18.76,18.0601,18.16,18.16,3.925767622,8445.126148000001,1.25787641,1.658206558,76.97854171,-0.745201265,229.7855761,223.3233081,1.65313364,3.1065749030000003,721895.105,7668637558,721895.105,7668637558,155269.2101,1649413174.0,44,634875.6679,6744236604,721895.105,7668637558,1416672.938,15049210368,2138568.043,22717847925.0,721895.1049650593,7668637557.910953
2018-02-28,Down,1079.0,1082.8,11957000,12405000,11777000,11860000,-91000,-0.0076,21114,254000000000.0,11673400,11762400,12120700,13426484,10814916.24,0.4,0.22,-91000,0,91000,480500.0,542200.0,0.886204353,46.98347511,11750641,11849679,-99039,-282789,65.9375,61.05624914,10584.33,11098.0,10300.0,10326.76,30801,1083,11183881,10556.3,11044.0,10263.0,10307.27,19688.06956,247.87,1,1.34,81.95697817,17.86,18.1,17.54,17.83,17.83,3.932999117,8718.549575,1.18337631,1.613950721,75.13834895,0.913470825,138.7138431,134.78080219999998,1.59441199,3.037954819,723815.6417,7467841216,723815.6417,7467841216,156293.6602,1612532488.0,41,634804.7369,6549486782,723815.6417,7467841216,1414035.12,14589059893,2137850.762,22056901109.0,723815.6417146192,7467841215.653284
2018-03-01,Up,1079.0,1082.8,11865000,12250000,11603000,12214000,354000,0.0298,20882,249000000000.0,11805600,11942600,12077200,13337892,10816508.19,0.55,0.21,354000,354000,0,344250.0,542200.0,0.634913316,38.83467765,11821927,11876666,-54739,-237179,88.0625,75.91505792,10325.64,11060.41,10240.0,10920.0,25093,1083,11826360,10307.26,11075.0,10213.99,10895.92,15390.55106,248.99,1,1.12,74.67251437,17.9401,18.15,17.68,18.1,18.1,3.960500536,8191.152628,1.33295343,1.715216712,79.45798331,-0.676534692,204.7622447,198.14553069999997,1.4522145,3.09963811,735020.9190000001,8025270777,735020.9190000001,8025270777,158866.9672,1734577067.0,38,640957.3944,6998245238,735020.9190000001,8025270777,1419232.72,15495786007,2154253.639,23521056785.0,735020.9189792892,8025270777.306446
2018-03-02,Up,1079.5,1080.3,12214000,12581000,12123000,12465000,251000,0.0206,23945,296000000000.0,12052600,12162400,11968900,12827552,11110248.29,0.79,0.14,251000,251000,0,325600.0,494500.0,0.6584428720000001,39.70247531,11920861,11920246,615,-189620,93.38277239,82.46092413,10923.36,11200.0,10770.0,11039.0,23911,1080,11922120,10895.93,11149.0,10765.0,11000.0,13838.03908,248.99,1,1.12,71.88043281,17.925,18.05,17.32,18.0,18.0,3.968293374,8664.719126,1.27276197,1.656946395,80.30040232,-0.27459822300000003,137.3394004,128.09634499999999,0.86923671,3.1101058530000003,739115.9019,8151062556,739115.9019,8151062556,160857.3982,1773955495.0,47,640351.9288,7061881114,739115.9019,8151062556,1420248.667,15662679832,2159364.569,23813742388.0,739115.9019480292,8151062556.170609
